gene	WtA	WtB	WtC	2hrA	2hrB	2hrC	4hrA	4hrB	4hrC	6hrA	6hrB	6hrC	8hrA	8hrB	8hrC	12hrA	12hrB	12hrC	12hrD	12hrE	12hrF	16hrA	16hrB	16hrC	24hrA	24hrB	24hrC	24hrD	24hrE	24hrF	36hrA	36hrB	36hrC	48hrA	48hrB	48hrC	60HrB	60hrA	60hrC	72hrA	72hrC
Hoxb13	0.0446	0.0446	0.0446	0.1535	0.1183	0.1452	0.3849	0.2158	0.6714	0.662	0.8158	0.7415	0.9214	1.394	0.66	3.701	3.35	1.629	4.856	2.293	4.695	5.813	6.249	3.59	2.238	2.295	1.642	2.116	2.77	2.622	1.585	1.467	1.69	2.014	1.374	2.933	4.649	3.318	6.01	7.699	6.269
Hoxc4	0.0325	0.0363	0.1094	0.0704	0.0662	0.0572	0.1364	0.076	0.16	0.2074	0.1902	0.2636	0.2723	0.3368	0.1985	0.6899	1.104	0.6375	1.51	0.9779	1.321	2.976	2.484	2.115	3.393	4.976	3.434	5.78	8.056	8.751	14.68	13.95	10.81	11.51	7.737	7.433	16.5	17.48	12.31	10.84	8.554
Hoxc5	0.0396	0.0396	0.0396	0.0396	0.0396	0.0396	0.0396	0.0396	0.0575	0.0396	0.0704	0.0658	0.0615	0.1086	0.0396	0.1687	0.311	0.3128	1.706	1.371	2.095	2.877	2.22	2.4	4.66	7.138	6.253	13.89	19.53	25.03	54.38	44.52	42.76	47.22	33.91	31.7	53.16	73.46	29.52	39.89	22.53
Hoxc6	0.0897	0.1122	0.0753	0.1285	0.1284	0.2006	0.1808	0.0437	0.0956	0.2179	0.2339	0.1587	0.1182	0.1235	0.1506	0.2575	0.336	0.2524	1.242	0.7206	1.045	0.4477	0.5298	0.4532	0.4345	0.9233	0.5218	5.424	7.557	7.086	31.64	26.28	14.29	33.09	31	21.67	58.58	45.4	48.6	75.05	43.89
Hoxc8	0.0987	0.0621	0.0621	0.1205	0.1781	0.1881	0.0915	0.0621	0.117	0.2147	0.2071	0.128	0.1071	0.1341	0.0919	0.2469	0.3043	0.1598	0.6037	0.3155	0.5137	0.216	0.1364	0.2035	0.4826	0.958	0.5226	3.558	6.146	11.25	41.04	36.95	43.44	78.27	67.72	63.13	114.6	76.41	129.3	110.2	77.53
Hoxc9	0.0581	0.0581	0.0581	0.0581	0.0581	0.0581	0.1043	0.0581	0.0876	0.1876	0.1691	0.102	0.0973	0.0911	0.0581	0.0581	0.1099	0.0581	0.7572	0.4823	0.671	0.1653	0.143	0.1989	0.8653	2.379	0.9918	5.37	7.904	14.77	63.49	55.98	71.59	133.3	127.1	104.8	233.7	185.6	293.7	248.3	194.1
Hoxc10	0.1823	0.1823	0.1823	0.1823	0.1823	0.1823	0.1823	0.1823	0.1823	0.1823	0.1823	0.1823	0.1823	0.1823	0.1823	0.1823	0.1823	0.1823	0.7739	0.3187	0.9052	0.1823	0.4201	0.3342	0.5281	1.26	0.6388	2.277	1.858	3.616	16.44	15.36	14.56	33.32	35.65	21.64	58.51	44.15	70.81	94.92	54.88
Hoxc11	0.5471	0.5471	0.5471	0.5471	0.5471	0.5471	1.046	0.5471	0.5471	0.5471	0.5471	0.5471	0.5471	0.5471	0.5471	0.5471	0.5471	0.5471	0.5471	0.5471	0.5471	0.5471	0.5471	0.5471	0.5471	0.5471	0.5471	0.5471	0.5471	1.125	2.914	1.03	1.057	3.487	6.928	4.825	10.84	5.091	16.87	21.81	14.88
Hoxc12	0.5955	0.5955	0.5955	0.5955	0.5955	0.5955	0.5955	0.5955	0.5955	0.5955	0.5955	0.5955	0.5955	0.5955	0.5955	0.8719	1.012	0.5955	0.5955	0.8839	0.9249	0.5955	0.5955	0.5955	0.5955	0.5955	0.5955	0.5955	0.5955	0.5955	0.9729	2.353	1.901	4.148	3.306	2.594	4.86	2.17	11.51	20.43	12.22
Hoxc13	0.8249	0.6581	0.881	0.7447	0.7945	0.7494	1.099	0.4816	0.7428	0.7799	0.7651	0.5451	0.3148	0.4045	0.2826	0.3801	0.3433	0.2883	1.104	0.5919	1.055	0.8592	0.8581	0.8744	1.118	1.168	0.918	1.261	1.839	1.687	2.437	2.023	2.139	3.469	3.641	2.795	2.622	2.457	4.069	4.623	4.01
Hoxd1	0.0916	0.0916	0.3227	0.0916	0.0916	0.0916	0.0916	0.0916	0.1696	0.1616	0.1646	0.2605	0.1451	0.4509	0.1497	0.5177	0.5371	0.525	0.9526	0.7847	0.9251	1.168	1.099	0.9772	2.019	2.878	1.702	3.63	4.872	6.558	14.9	12.97	12.78	13.89	10.78	10.4	23.1	25.48	22.49	12.86	7.039
Hoxd3	0.1797	0.1797	0.1797	0.1797	0.1797	0.1797	0.1797	0.1797	0.1797	0.1797	0.1797	0.1797	0.1797	0.1797	0.1797	0.1797	0.1797	0.1797	0.7841	0.1797	0.9397	0.2795	0.3877	0.3032	0.4255	1.303	0.6364	3.374	4.506	5.7	16.07	12.46	12.31	25.38	22.13	19.44	73.89	50.17	89.33	73.7	51.69
Hoxd4	0.2117	0.2117	0.2117	0.2117	0.2117	0.2117	0.2117	0.2117	0.2117	0.2117	0.2117	0.2117	0.2117	0.2117	0.2117	0.2117	0.2117	0.2117	0.8369	0.3169	0.6823	0.2117	0.2117	0.2117	0.3229	0.2117	0.2117	0.9243	1.819	3.578	11.59	9.282	12.42	29.63	27.75	28.93	138	103.7	174.7	127.6	95.81
Hoxd8	0.3454	0.1386	0.1562	0.2788	0.3617	0.1507	0.4228	0.2922	0.2806	0.3715	0.4225	0.4024	0.0827	0.3783	0.1563	0.427	0.3966	0.1623	1.518	0.8518	1.279	0.4025	0.619	0.6614	1.582	2.776	1.673	1.378	3.025	2.577	6.379	5.918	4.842	9.71	8.439	9.591	20.61	19.56	21.67	19.27	14.32
Hoxd9	0.3127	0.3127	0.3127	0.3127	0.3127	0.3127	0.3127	0.3127	0.3127	0.3127	0.3127	0.3127	0.3127	0.3127	0.3127	0.3127	0.3127	0.3127	1.233	0.7727	0.3127	0.3127	0.3127	0.3127	1.505	2.516	1.702	1.364	2.268	1.711	7.94	7.618	3.975	16.41	14.75	7.389	15.35	23.42	12.98	8.76	7.311
Hoxd10	0.6113	0.6113	0.6113	0.6113	0.6113	0.6113	0.6113	0.6113	0.6113	0.6113	0.6113	0.6113	0.6113	0.6113	0.6113	0.6113	0.6113	2.147	1.324	0.6113	0.6113	0.6113	0.8901	0.6113	0.6113	0.9603	0.6113	0.6113	1.094	1.043	3.757	3.279	1.897	4.141	6.306	0.9137	2.827	2.51	3.153	4.471	3.82
Hoxd11	0.386	0.386	0.386	0.386	0.386	0.386	0.386	0.386	0.386	0.386	0.386	0.386	0.386	0.386	0.386	0.386	0.386	0.386	3.995	3.592	2.534	0.386	0.386	0.386	0.386	0.386	0.386	1.873	1.818	2.605	5.277	4.879	4.358	6.654	7.097	4.476	8.323	9.092	5.739	7.234	6.061
Hoxd12	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	0.8948	1.461	1.493	0.8948	1.451	0.8948	1.427	1.328	0.8948	2.185	1.426	1.848	1.412	0.8948
Hoxd13	0.356	0.211	0.2224	0.3404	0.2063	0.2531	0.523	0.3132	0.8508	0.8258	0.6023	1.203	0.4967	0.4996	0.246	0.4598	0.5864	0.4538	3.307	2.362	2.477	0.6151	0.7874	0.5764	1.894	2.878	1.828	2.08	2.671	3.361	3.8	4.126	3.614	2.96	2.91	3.01	3.243	3.668	2.846	3.146	3.093
Tbp	1.143	0.8027	0.6636	1.136	1.1	1.062	1.048	0.6247	1.151	1.232	1.211	1.11	0.8632	1.084	0.8079	1.093	0.9161	0.7288	2.141	1.454	1.406	0.7423	0.7401	0.6216	0.7593	0.8125	0.7629	0.9933	1.236	1.335	1.331	1.262	1.065	1.486	1.251	1.076	1.119	1.08	1.103	1.496	1.18
Ubc	1.754	1.318	0.6919	1.95	1.773	1.733	0.6651	0.3207	0.5891	1.046	0.8723	0.7266	0.6671	0.9185	0.5868	0.7749	0.9374	0.4463	1.787	1.2	1.563	0.5693	0.5266	0.4026	0.5587	0.6849	0.5156	1.06	1.389	1.878	1.444	1.68	1.883	1.678	1.505	1.875	1.554	1.192	2.459	2.098	2.136
