Probe Set ID	Gene Symbol
1415819_a_at	Ppp2r1a
1415820_x_at	Nono
1415821_at	Nptn
1415822_at	Scd2
1415823_at	Scd2
1415824_at	Scd2
1415825_s_at	Csnk1d
1415826_at	Atp6v1h
1415827_a_at	Serp1
1415828_a_at	Serp1
1415829_at	Lbr
1415830_at	Orc5l
1415831_at	Psmd2
1415832_at	Agtr2
1415833_x_at	Gm14303 /// Rps29
1415834_at	Dusp6
1415835_at	Prl3b1
1415836_at	Aldh18a1
1415837_at	Klk1
1415838_at	Serinc1
1415839_a_at	Npm1
1415840_at	Elovl5
1415841_at	Dync1i2
1415842_at	Mlst8
1415843_at	Mlst8
1415844_at	Syt4
1415845_at	Syt4
1415846_a_at	Ldhc
1415847_at	Ldhc
1415848_at	Prl3d1
1415849_s_at	Stmn1
1415850_at	Rasa3
1415851_a_at	Impdh2
1415852_at	Impdh2
1415853_at	Def8
1415854_at	Kitl
1415855_at	Kitl
1415856_at	Emb
1415857_at	Emb
1415858_at	Eif3c
1415859_at	Eif3c
1415860_at	Kpna2
1415861_at	Tyrp1
1415862_at	Tyrp1
1415863_at	Eif4g2
1415864_at	Bpgm
1415865_s_at	Bpgm
1415866_at	Unc45a
1415867_at	Cct4
1415868_at	Cct4
1415869_a_at	Trim28
1415870_at	Calu
1415871_at	Tgfbi
1415872_at	Hnrnph1
1415873_a_at	Actr1a
1415874_at	LOC100046643 /// Spry1
1415875_at	3010003L21Rik
1415876_a_at	Rps26
1415877_at	Dpysl3
1415878_at	Rrm1
1415879_a_at	Rplp2
1415880_a_at	Lamp1
1415881_at	Ghitm
1415882_at	Ghitm
1415883_a_at	Cela3b
1415884_at	Cela3b
1415885_at	Chgb
1415886_at	Sh2d3c
1415887_at	Tfg
1415888_at	Hdgf
1415889_a_at	Hsp90b1
1415890_at	Papss1
1415891_at	Suclg1
1415892_at	Sgpl1
1415893_at	Sgpl1
1415894_at	Enpp2
1415895_at	Snrpn /// Snurf
1415896_x_at	Snrpn /// Snurf
1415897_a_at	Mgst1
1415898_at	Mgst1
1415899_at	Junb
1415900_a_at	Kit
1415901_at	Plod3
1415902_at	Aldh7a1
1415903_at	Slc38a1
1415904_at	Lpl
1415905_at	Reg1
1415906_at	Tmsb4x
1415907_at	Ccnd3
1415908_at	Tspyl1
1415909_at	Stip1
1415910_s_at	Ciapin1
1415911_at	Impact
1415912_a_at	Gm6573 /// Gm6834 /// LOC100044992 /// Rps13
1415913_at	Gm12270 /// Gm15483 /// Gm6573 /// Gm6834 /// LOC100044992 /// Rps13
1415914_at	Hnrnpab
1415915_at	Ddx1
1415916_a_at	Mthfd1
1415917_at	Mthfd1
1415918_a_at	Tpi1
1415919_at	Npdc1
1415920_at	Cstf2t
1415921_a_at	Tnfrsf19
1415922_s_at	Marcksl1
1415923_at	Ndn
1415924_at	Tnp1
1415925_a_at	Nup62
1415926_at	Nup62
1415927_at	Actc1 /// LOC100048431
1415928_a_at	Map1lc3b
1415929_at	Map1lc3b
1415930_a_at	Map1lc3b
1415931_at	Igf2
1415932_x_at	Atp9a
1415933_a_at	Cox5a
1415934_at	Cops8
1415935_at	Smoc2
1415936_at	Bcar3
1415937_s_at	Pdcd6ip
1415938_at	Spink3
1415939_at	Fmod
1415940_at	Zfand2a
1415941_s_at	Zfand2a
1415942_at	Gm3379 /// Gm4892 /// Gm7476 /// Rpl10
1415943_at	Sdc1
1415944_at	Sdc1
1415945_at	Mcm5
1415946_at	Pigq
1415947_at	Creg1
1415948_at	Creg1
1415949_at	Cpe /// LOC100046434
1415950_a_at	Pebp1
1415951_at	Fkbp10
1415952_at	Mark2
1415953_s_at	Mark2
1415954_at	EG436523 /// Try10 /// Try4 /// Try5
1415955_x_at	Prm1
1415956_a_at	Pctk1
1415957_a_at	Rrp1
1415958_at	Slc2a4
1415959_at	Slc2a4
1415960_at	Mpo
1415961_at	Itm2c
1415962_at	Eif3h
1415963_at	Hnrnph2
1415964_at	Scd1
1415965_at	Scd1
1415966_a_at	Ndufv1
1415967_at	Ndufv1
1415968_a_at	Kap
1415969_s_at	Kap
1415970_at	Cox6c
1415971_at	Marcks
1415972_at	Marcks
1415973_at	Marcks
1415974_at	Map2k2
1415975_at	Carhsp1
1415976_a_at	Carhsp1
1415977_at	Isyna1
1415978_at	Tubb3
1415979_x_at	Rpl7
1415980_at	Atp5g2
1415981_at	Herpud2
1415982_at	Herpud2
1415983_at	Lcp1
1415984_at	Acadm
1415985_at	Sf3b3
1415986_at	Clcn4-2
1415987_at	Hdlbp
1415988_at	Hdlbp
1415989_at	Vcam1
1415990_at	Vdac2
1415991_a_at	Klhdc3
1415992_at	Pigo
1415993_at	Sqle
1415994_at	Cyp2e1
1415995_at	Casp6
1415996_at	Txnip
1415997_at	Txnip
1415998_at	Vdac1
1415999_at	Hey1
1416000_a_at	Prdx1
1416001_a_at	Cotl1
1416002_x_at	Cotl1
1416003_at	Cldn11
1416004_at	Ywhah
1416005_at	Psmc1
1416006_at	Mdk
1416007_at	Satb1
1416008_at	Satb1
1416009_at	Tspan3
1416010_a_at	Ehd1
1416011_x_at	Ehd1
1416012_at	Ehd1
1416013_at	Pld3
1416014_at	Abce1
1416015_s_at	Abce1
1416016_at	Tap1
1416017_at	Copg
1416018_at	Dr1
1416019_at	Dr1
1416020_a_at	Atp5g1 /// Gm10039
1416021_a_at	Fabp5 /// Gm6166
1416022_at	Fabp5
1416023_at	Fabp3
1416024_x_at	Cct3
1416025_at	Fgg
1416026_a_at	Rpl12
1416027_at	Pdcd6
1416028_a_at	Hn1
1416029_at	Klf10
1416030_a_at	Mcm7
1416031_s_at	Mcm7
1416032_at	Tmem109
1416033_at	Tmem109
1416034_at	Cd24a
1416035_at	Hif1a
1416036_at	Fkbp1a
1416037_a_at	Cct2
1416038_at	Snd1
1416039_x_at	Cyr61
1416040_at	Lipf
1416041_at	Sgk1
1416042_s_at	Nasp
1416043_at	Nasp
1416044_at	Flii
1416045_a_at	Smarcb1
1416046_a_at	Fuca2
1416047_at	Fuca2
1416048_at	Phc2
1416049_at	Gldc
1416050_a_at	Scarb1
1416051_at	C2
1416052_at	Prps1
1416053_at	Lrrn1
1416054_at	Rps5
1416055_at	Amy2a1 /// Amy2a2 /// Amy2a5 /// Amy2b
1416056_a_at	Ndufb11
1416057_at	Ndufb11
1416058_s_at	Atp5c1
1416059_at	LOC100048726 /// Sec23b
1416060_at	Tbc1d15
1416061_at	Tbc1d15
1416062_at	Tbc1d15
1416063_x_at	Ceacam11
1416064_a_at	Hspa5
1416065_a_at	Ankrd10
1416066_at	Cd9
1416067_at	Ifrd1
1416068_at	Kars /// LOC631033
1416069_at	Pfkp
1416070_a_at	Ddx18
1416071_at	Ddx18
1416072_at	Cd34
1416073_a_at	Nup85
1416074_a_at	Gm10051 /// Gm15435 /// Rpl28
1416075_at	LOC100048168 /// Sav1
1416076_at	Ccnb1 /// Gm5593 /// Gm8416
1416077_at	Adm
1416078_s_at	Raf1
1416079_a_at	Arpc1a
1416080_at	Adam15
1416081_at	Smad1
1416082_at	Rab1
1416083_at	Zfand5
1416084_at	Zfand5
1416085_s_at	Zfand5
1416086_at	Tpst2
1416087_at	Ap1s1
