ID	Cy5	Cy3	Ratio	Sum	LogRat
YCONTROLAF	37	100	0.08	57	-3.73
YCONTROL77	38	96	0.1	54	-3.29
YCONTROL04	65	121	0.43	106	-1.21
YCONTROLAF	40	99	0.13	59	-2.89
YCONTROL77	38	95	0.1	53	-3.26
YCONTROL04	42	98	0.16	59	-2.67
YCONTROLAF	38	95	0.1	54	-3.29
YCONTROL77	44	95	0.22	60	-2.16
YCONTROL04	38	89	0.1	46	-3.39
YCONTROLAF	39	95	0.1	54	-3.29
YCONTROL77	52	122	0.24	94	-2.08
YCONTROL04	42	90	0.19	51	-2.43
YBR045C	185	419	0.41	523	-1.3
YBR049C	1180	2076	0.56	3174	-0.83
YBR053C	1820	6095	0.3	7833	-1.76
YBR069C	2073	1427	1.48	3419	0.56
YBR073W	1086	1698	0.64	2703	-0.65
YBR077C	2134	5043	0.42	7096	-1.25
YBR091C	1134	1696	0.67	2750	-0.58
YBR095C	714	1406	0.5	2040	-1
YBR099C	130	230	0.53	280	-0.92
YBR115C	1573	2604	0.6	4096	-0.73
YBR119W	618	1101	0.56	1639	-0.85
YBR123C	569	1153	0.48	1642	-1.05
YCR053W	5286	5694	0.93	10899	-0.1
YCR060W	1382	2315	0.59	3616	-0.75
YCR064C	96	194	0.42	209	-1.25
YCR083W	1039	2580	0.4	3539	-1.33
YCR087C-A	290	191	1.77	399	0.82
YCR090C	1580	2397	0.66	3895	-0.61
YCR105W	66	146	0.31	130	-1.68
Actin1	999	2190	0.45	3107	-1.15
YDL006W	850	1536	0.55	2305	-0.86
YDL022W	1856	4065	0.45	5840	-1.14
YDL026W	45	93	0.26	58	-1.94
YDL030W	407	715	0.56	1041	-0.83
YDR079W	1754	4096	0.42	5768	-1.23
YDR083W	1200	785	1.58	1904	0.66
YDR087C	1237	872	1.46	2028	0.54
YDR101C	1536	689	2.34	2144	1.23
Actin2	1129	2773	0.4	3821	-1.32
YDR109C	523	1173	0.43	1615	-1.2
YDR125C	176	345	0.48	440	-1.07
YDR129C	2383	5489	0.43	7790	-1.21
YDR133C	11780	30603	0.38	42301	-1.38
YDR149C	52	121	0.23	91	-2.12
YDR153C	808	1034	0.78	1760	-0.35
YDR157W	92	142	0.61	151	-0.72
YDR445C	49	115	0.24	82	-2.04
YDR449C	1136	490	2.5	1545	1.32
Actin3	629	2491	0.24	3038	-2.04
YDR469W	1691	3337	0.5	4946	-0.99
YDR473C	484	764	0.63	1166	-0.67
YDR477W	725	1361	0.53	2004	-0.93
YDR493W	1282	2411	0.53	3611	-0.92
YDR497C	4876	9060	0.54	13854	-0.9
YDR501W	252	379	0.66	550	-0.61
YDR517W	1328	3565	0.37	4812	-1.44
YDR521W	47	94	0.28	60	-1.85
YDR525W	65	143	0.32	127	-1.63
YER187W	108	203	0.47	229	-1.1
YER190W	4750	6705	0.71	11373	-0.5
YFL002W-B	4424	8055	0.55	12396	-0.87
YFL016C	2045	5075	0.4	7036	-1.32
YFL019C	92	239	0.31	249	-1.69
YFL023W	690	549	1.31	1157	0.39
YFL038C	6198	13504	0.46	19620	-1.13
YFL042C	385	1052	0.35	1355	-1.52
YFL046W	1552	2713	0.57	4182	-0.81
YFL062W	7326	15171	0.48	22415	-1.05
YFL066C	4523	7852	0.58	12293	-0.8
YFR002W	970	1376	0.7	2264	-0.5
YGL245W	4720	7946	0.59	12584	-0.75
YGL249W	131	324	0.35	373	-1.53
YGL253W	11575	15616	0.74	27109	-0.43
YGR006W	320	566	0.55	803	-0.86
YGR010W	815	2162	0.37	2895	-1.44
YGR014W	813	1250	0.65	1981	-0.63
YGR028W	1608	4377	0.36	5902	-1.46
YGR032W	2866	8038	0.35	10821	-1.5
YGR036C	954	1541	0.62	2411	-0.7
YGR050C	397	916	0.42	1230	-1.26
YGR054W	1489	1663	0.9	3070	-0.15
YGR058W	368	639	0.57	924	-0.82
YHR005C-A	14132	21050	0.67	35099	-0.57
YHR009C	1579	2816	0.56	4312	-0.84
YHR013C	946	1304	0.73	2168	-0.46
YHR028C	1457	4702	0.31	6077	-1.71
YHR032W	452	516	0.89	886	-0.16
YHR036W	277	449	0.6	645	-0.73
YHR050W	1021	1979	0.51	2919	-0.97
YHR054C	1023	1457	0.7	2398	-0.51
YHR058C	621	1099	0.56	1638	-0.84
YHR073W	1112	2108	0.52	3137	-0.94
YHR077C	1827	2071	0.89	3815	-0.17
YHR080C	1272	2413	0.52	3602	-0.94
Actin4	2507	6249	0.4	8670	-1.33
YIL161W	787	1233	0.64	1937	-0.65
YIL165C	684	1916	0.35	2517	-1.52
YIR004W	51	103	0.31	72	-1.69
YIR008C	661	1072	0.61	1651	-0.71
YIR012W	1155	864	1.37	1937	0.46
YIR027C	183	2507	0.06	2608	-4.04
YIR031C	119	2013	0.04	2050	-4.53
YIR035C	1038	1887	0.55	2843	-0.87
YJL007C	56	124	0.29	98	-1.79
YJL011C	1315	854	1.59	2086	0.67
YJL015C	70	124	0.47	112	-1.08
YJR095W	42	59	0.58	19	-0.78
YJR099W	1268	3571	0.35	4756	-1.51
YJR103W	917	2522	0.36	3355	-1.49
YJR119C	307	412	0.75	637	-0.42
YJR123W	134	145	1.05	193	0.07
YJR127C	578	1223	0.46	1716	-1.11
YJR142W	1239	3255	0.38	4411	-1.41
YJR146W	58	134	0.28	110	-1.84
YJR150C	262	1258	0.19	1437	-2.41
YKL004W	37	59	0.3	13	-1.74
YKL007W	3819	7578	0.5	11315	-0.99
YKL011C	37	60	0.25	15	-2
YKR086W	367	526	0.7	811	-0.52
YKR090W	301	490	0.6	708	-0.73
YKR094C	34230	15977	2.15	50123	1.1
YLL004W	743	1069	0.69	1729	-0.53
YLL008W	1579	453	3.81	1949	1.93
YLL012W	419	510	0.83	846	-0.27
YLL027W	893	1822	0.48	2632	-1.05
YLL031C	2084	3736	0.56	5736	-0.85
YLL035W	750	608	1.29	1269	0.36
YLL051C	2540	4655	0.54	7107	-0.88
Actin5	440	1749	0.24	2105	-2.07
YLL059C	90	228	0.31	235	-1.68
YLR288C	606	1066	0.56	1589	-0.83
YLR292C	2677	5390	0.49	7984	-1.01
YLR296W	103	256	0.33	276	-1.58
YLR312C	170	713	0.2	800	-2.29
YLR315W	318	808	0.37	1044	-1.42
YLR319C	531	1014	0.51	1462	-0.96
YLR335W	1113	1521	0.73	2551	-0.45
YLR339C	67	125	0.42	109	-1.27
YLR343W	147	210	0.7	273	-0.52
YLR359W	8944	9000	1	17860	-0.01
YLR363C	985	2075	0.47	2975	-1.09
YLR367W	37756	11691	3.24	49362	1.7
YMR054W	1085	2032	0.53	3030	-0.92
YMR058W	10351	12959	0.8	23224	-0.32
YMR062C	6605	10513	0.63	17033	-0.67
YMR077C	981	2557	0.38	3454	-1.4
YMR081C	122	221	0.51	259	-0.96
YMR085W	1156	2401	0.48	3473	-1.07
YMR100W	715	1238	0.57	1870	-0.8
YMR104C	474	1296	0.35	1687	-1.5
YMR108W	3709	3134	1.19	6760	0.25
YMR123W	1698	2385	0.71	3999	-0.49
YMR127C	495	630	0.79	1041	-0.34
YMR131C	3467	1619	2.18	5003	1.13
YNL094W	934	1633	0.57	2484	-0.82
Actin7	5869	12720	0.46	18504	-1.12
YNL102W	713	1149	0.62	1777	-0.7
YNL118C	2081	4258	0.49	6254	-1.04
YNL122C	1818	4468	0.4	6200	-1.31
YNL126W	947	1638	0.58	2498	-0.8
YNL142W	811	64820	0.01	65544	-6.38
YNL146W	191	879	0.19	984	-2.41
YNL150W	57	213	0.14	186	-2.83
YNL166C	1252	1780	0.7	2948	-0.51
YNL170W	204	388	0.5	508	-0.99
YNL174W	106	195	0.5	217	-1.01
YOL057W	1402	2965	0.47	4283	-1.09
YOL061W	2551	2598	0.99	5065	-0.02
YOL065C	681	1689	0.39	2286	-1.34
YOL081W	1288	2720	0.47	3924	-1.09
YOL085C	244	665	0.34	825	-1.56
YOL089C	389	756	0.5	1060	-1
YOL103W-B	25267	34695	0.73	59877	-0.46
Actin8	1641	3985	0.41	5540	-1.29
YOL111C	763	1333	0.57	2011	-0.81
YOL127W	36657	16208	2.27	52778	1.18
YOL131W	734	882	0.84	1530	-0.25
YOL135C	1636	2361	0.69	3912	-0.53
YOR268C	63	120	0.4	98	-1.32
YOR272W	1459	752	2.03	2125	1.02
YOR276W	6723	8082	0.83	14720	-0.26
YOR292C	465	1002	0.45	1382	-1.15
YOR296W	577	946	0.6	1438	-0.73
YOR299W	913	1826	0.49	2655	-1.02
YOR314W	68	146	0.34	130	-1.56
YOR318C	371	693	0.52	980	-0.94
YOR322C	960	1600	0.6	2476	-0.75
YOR338W	311	513	0.59	739	-0.75
YOR342C	1389	859	1.67	2163	0.74
YOR344C	4932	6749	0.73	11596	-0.45
YPL251W	1270	2048	0.62	3233	-0.69
YPL255W	484	766	0.63	1164	-0.67
YPL257W-B	26135	34404	0.76	60453	-0.4
YPL273W	6392	5521	1.16	11827	0.22
YPL277C	513	956	0.53	1384	-0.92
YPL281C	333	562	0.58	810	-0.78
YPR013C	392	809	0.47	1116	-1.09
YPR017C	1507	3182	0.47	4604	-1.09
YPR021C	584	1263	0.45	1762	-1.14
YPR037C	877	1247	0.7	2040	-0.51
YPR041W	3848	2813	1.38	6577	0.46
YPR045C	927	1407	0.66	2250	-0.61
EMPTY	167	198	0.89	281	-0.17
EMPTY	44	58	0.89	17	-0.17
EMPTY	72	81	1.13	68	0.17
EMPTY	43	57	0.88	15	-0.19
EMPTY	38	57	0.67	10	-0.58
EMPTY	41	58	1	14	0
EMPTY	39	62	0.33	16	-1.58
EMPTY	40	57	0.71	12	-0.49
EMPTY	38	56	0.67	10	-0.58
EMPTY	38	55	0.6	8	-0.74
EMPTY	40	56	0.83	11	-0.26
EMPTY	42	63	0.5	21	-1
EMPTY	57	94	0.49	67	-1.03
EMPTY	40	57	0.63	13	-0.68
EMPTY	41	58	0.67	15	-0.58
EMPTY	41	57	0.75	14	-0.42
EMPTY	42	57	0.88	15	-0.19
EMPTY	39	57	0.38	11	-1.42
EMPTY	41	57	0.63	13	-0.68
EMPTY	43	57	0.88	15	-0.19
EMPTY	40	57	1.17	13	0.22
EMPTY	38	57	0.57	11	-0.81
EMPTY	39	57	0.71	12	-0.49
EMPTY	40	57	0.75	14	-0.42
EMPTY	35	48	-1	0	0
EMPTY	34	48	1	-2	0
EMPTY	34	50	-1	0	0
EMPTY	35	48	0	-1	0
EMPTY	35	49	0	-1	0
EMPTY	36	48	-0.5	-1	0
EMPTY	35	50	-1	0	0
EMPTY	35	50	-1	0	0
YCONTROLAF	40	79	0.15	38	-2.72
YCONTROL77	39	77	0.1	34	-3.37
YCONTROL04	38	77	0.1	34	-3.37
YCONTROLAF	49	90	0.32	58	-1.65
YCONTROL77	40	75	0.17	34	-2.54
YCONTROL04	45	75	0.34	39	-1.54
YCONTROLAF	39	74	0.14	32	-2.81
YCONTROL77	46	82	0.31	47	-1.71
YCONTROL04	40	78	0.16	37	-2.68
YCONTROLAF	41	88	0.14	49	-2.84
YCONTROL77	39	79	0.12	37	-3.04
YCONTROL04	40	76	0.17	35	-2.58
Q0092	55	98	0.37	71	-1.45
Q0120	40	65	0.21	23	-2.25
Q0143	40	65	0.21	23	-2.25
YAL010C	549	1155	0.46	1622	-1.11
YAL014C	665	1246	0.53	1829	-0.93
YAL018C	42	90	0.16	51	-2.65
YAL034C	322	715	0.43	955	-1.22
YAL036C	2807	1255	2.29	3980	1.2
YAL040C	1196	1582	0.76	2697	-0.4
YAL058C-A	67	138	0.35	124	-1.52
YAL061W	2240	10566	0.21	12725	-2.25
YAL064W	241	464	0.49	624	-1.02
YBR139W	2207	9972	0.22	12098	-2.19
YBR143C	6475	5172	1.26	11565	0.33
YBR147W	348	1796	0.18	2063	-2.49
YBR162W-A	11033	13774	0.8	24724	-0.32
YBR166C	1878	2528	0.74	4323	-0.43
YBR170C	1081	2605	0.41	3603	-1.29
YBR186W	52	81	0.47	50	-1.09
YBR190W	545	632	0.87	1094	-0.2
YBR194W	938	1778	0.52	2634	-0.94
YBR210W	2080	4096	0.51	6094	-0.99
YBR214W	527	1480	0.34	1925	-1.54
YBR218C	2393	2609	0.92	4920	-0.12
YDL045W-A	3250	5923	0.55	9091	-0.87
YDL049C	347	1030	0.32	1295	-1.66
YDL053C	3271	4966	0.66	8156	-0.6
YDL069C	700	1225	0.56	1844	-0.83
YDL073W	1253	1791	0.7	2962	-0.52
YDL077C	560	1142	0.48	1620	-1.06
YDL093W	952	1734	0.54	2604	-0.88
YDL097C	3765	8950	0.42	12632	-1.26
YDL101C	1041	2023	0.51	2981	-0.98
YDL117W	766	1190	0.64	1873	-0.65
YDL121C	5588	5780	0.97	11285	-0.05
YDL125C	6647	11001	0.6	17564	-0.73
YDR172W	3508	3318	1.06	6744	0.09
YDR176W	1463	2665	0.55	4046	-0.87
YDR179W-A	645	1201	0.53	1763	-0.92
YDR195W	929	1542	0.6	2388	-0.74
YDR199W	203	451	0.42	572	-1.27
YDR203W	58	103	0.41	79	-1.28
YDR215C	49	97	0.27	65	-1.87
YDR219C	925	2293	0.4	3137	-1.34
YDR223W	198	374	0.5	489	-1.01
YDR239C	401	630	0.63	948	-0.68
YDR243C	459	768	0.59	1144	-0.77
YDR247W	578	1014	0.56	1510	-0.84
YDR540C	503	1587	0.3	2008	-1.72
YDR544C	142	271	0.47	330	-1.08
YEL003W	6869	8449	0.81	15234	-0.3
YEL018W	1325	2158	0.61	3399	-0.71
YEL021W	69	132	0.4	118	-1.3
YEL025C	836	1834	0.45	2587	-1.16
YEL041W	248	1006	0.22	1170	-2.18
YEL045C	4507	3307	1.37	7730	0.46
YEL049W	871	2001	0.43	2789	-1.23
YEL064C	600	1676	0.35	2194	-1.53
YEL068C	918	2577	0.35	3413	-1.52
YEL072W	583	1524	0.37	2025	-1.43
YFR018C	403	843	0.46	1164	-1.11
YFR022W	255	525	0.46	697	-1.13
YFR025C	1983	4617	0.43	6517	-1.23
YFR039C	1209	1951	0.62	3078	-0.7
YFR043C	774	1418	0.54	2110	-0.89
YFR047C	2128	4402	0.48	6447	-1.06
YGL006W	1110	3344	0.33	4371	-1.62
YGL010W	1034	2124	0.48	3075	-1.06
YGL014W	2088	3434	0.61	5438	-0.72
YGL030W	31981	10944	2.93	42841	1.55
YGL034C	112	177	0.58	206	-0.77
YGL038C	1389	3371	0.41	4678	-1.3
YGR074W	1501	2203	0.68	3621	-0.56
YGR078C	568	657	0.87	1143	-0.19
YGR082W	3752	5638	0.66	9308	-0.59
YGR098C	909	1522	0.59	2348	-0.76
YGR102C	1170	2474	0.47	3561	-1.1
YGR106C	12078	17056	0.71	29051	-0.5
YGR120C	639	1208	0.52	1764	-0.95
YGR123C	1378	1279	1.09	2574	0.12
YGR127W	527	1204	0.42	1648	-1.24
YGR143W	2132	4688	0.45	6735	-1.15
YGR147C	2689	4518	0.59	7124	-0.75
YGR151C	2011	2312	0.87	4240	-0.2
YHR096C	672	2379	0.27	2968	-1.87
YHR100C	1034	2172	0.47	3123	-1.09
YHR104W	1939	6526	0.29	8382	-1.77
YHR120W	536	747	0.72	1199	-0.48
YHR124W	298	727	0.39	942	-1.37
YHR128W	2213	3087	0.72	5218	-0.48
YHR142W	1131	1130	1.01	2178	0.02
YHR145C	48	83	0.33	48	-1.58
YHR149C	1248	1056	1.2	2221	0.26
YHR165C	811	992	0.82	1719	-0.28
YHR169W	1365	832	1.69	2114	0.76
YHR173C	69	121	0.45	109	-1.14
YJL031C	1320	2773	0.47	4011	-1.09
YJL035C	642	679	0.96	1238	-0.06
YJL039C	836	1176	0.71	1929	-0.5
YJL056C	748	1564	0.47	2229	-1.09
YJL060W	229	591	0.36	736	-1.49
YJL064W	42	59	0.64	18	-0.65
YJL080C	1730	1877	0.93	3524	-0.11
YJL084C	362	560	0.64	838	-0.65
YJL088W	235	295	0.8	447	-0.32
YJL104W	5253	9895	0.53	15065	-0.92
YJL108C	176	268	0.63	361	-0.66
YJL112W	1011	1305	0.78	2233	-0.37
YKL027W	886	855	1.05	1657	0.07
YKL031W	95	176	0.46	187	-1.12
YKL034W	942	2141	0.43	2999	-1.21
YKL050C	289	462	0.61	668	-0.71
YKL053W	65	138	0.32	120	-1.65
YKL057C	1491	1733	0.86	3141	-0.21
YKL073W	1734	2428	0.71	4078	-0.49
YKL077W	4375	6425	0.68	10717	-0.56
YKL081W	5010	3238	1.56	8164	0.64
YKL096W-A	28699	31255	0.92	59869	-0.12
YKL100C	1544	4010	0.38	5469	-1.39
YKL104C	2221	4643	0.48	6780	-1.07
YLR008C	3437	4107	0.84	7460	-0.26
YLR012C	163	298	0.51	378	-0.98
YLR016C	2129	3373	0.63	5419	-0.67
YLR032W	809	1225	0.66	1951	-0.61
YLR035C-A	19683	22176	0.89	41775	-0.17
YLR039C	1411	2042	0.69	3367	-0.54
YLR055C	648	940	0.69	1504	-0.54
YLR059C	1336	2238	0.59	3489	-0.75
YLR063W	589	384	1.64	888	0.72
YLR079W	2233	4340	0.51	6489	-0.97
YLR083C	2690	3214	0.84	5820	-0.25
YLR087C	402	652	0.6	969	-0.73
YLR383W	835	1334	0.62	2085	-0.69
YLR387C	1794	3378	0.53	5087	-0.92
YLR390W-A	9359	14514	0.64	23788	-0.63
YLR407W	1665	1960	0.85	3541	-0.23
YLR410W-A	4808	9636	0.5	14360	-1.01
YLR413W	3718	2517	1.49	6151	0.58
YLR429W	2335	3990	0.58	6241	-0.78
YLR433C	1093	1106	1	2115	0
YLR437C	1462	2438	0.6	3816	-0.75
YLR452C	1970	2517	0.78	4403	-0.35
YLR456W	918	1784	0.51	2618	-0.98
YLR460C	176	499	0.31	590	-1.7
YMR146C	6116	5290	1.16	11321	0.21
YMR150C	2957	5348	0.55	8221	-0.86
YMR153W	2118	3578	0.59	5611	-0.76
YMR167W	388	769	0.49	1072	-1.04
YMR171C	1029	1978	0.51	2922	-0.96
YMR173W-A	4014	8885	0.45	12814	-1.15
YMR189W	4343	10403	0.42	14661	-1.27
YMR193C-A	55	132	0.23	103	-2.14
YMR195W	10560	27763	0.38	38239	-1.4
YMR211W	998	1501	0.66	2414	-0.59
YMR215W	2534	3350	0.76	5800	-0.4
YMR219W	2845	2825	1.01	5586	0.02
YNL190W	16171	20759	0.78	36845	-0.36
YNL194C	300	1030	0.27	1245	-1.89
YNL198C	1154	1511	0.76	2580	-0.39
YNL214W	1005	2210	0.45	3129	-1.16
YNL218W	657	1215	0.53	1786	-0.91
YNL222W	2107	2897	0.73	4920	-0.46
YNL238W	1633	2460	0.66	4008	-0.6
YNL242W	444	986	0.43	1344	-1.2
YNL246W	1239	1915	0.64	3069	-0.63
YNL262W	807	1351	0.59	2073	-0.76
YNL266W	85	158	0.45	158	-1.15
YNL270C	148	304	0.44	367	-1.19
YOL151W	5181	10653	0.49	15749	-1.04
YOL155C	360	641	0.55	916	-0.87
YOL159C	963	2585	0.37	3464	-1.45
YOR008C-A	56	126	0.26	98	-1.96
YOR012W	332	722	0.44	970	-1.19
YOR016C	3332	5505	0.6	8753	-0.73
YOR032C	75	181	0.29	171	-1.81
YOR036W	1280	3814	0.33	5009	-1.6
YOR040W	1028	3123	0.32	4067	-1.63
YOR056C	2205	1963	1.13	4084	0.18
YOR060C	888	2034	0.43	2838	-1.22
YOR064C	1029	1994	0.51	2938	-0.97
YOR360C	3019	4645	0.65	7580	-0.62
YOR364W	210	299	0.7	424	-0.52
YOR368W	1193	1754	0.68	2862	-0.56
YOR384W	1447	2051	0.7	3413	-0.5
YOR388C	86	153	0.48	154	-1.06
YOR392W	65	151	0.28	131	-1.81
YPL014W	520	1197	0.42	1632	-1.25
YPL018W	609	597	1.05	1121	0.06
YPL022W	1025	1853	0.55	2794	-0.87
YPL038W	1728	2749	0.63	4393	-0.67
YPL042C	658	1249	0.52	1823	-0.95
YPL046C	2089	3778	0.55	5783	-0.86
YPR061C	241	834	0.26	991	-1.94
YPR065W	2144	2870	0.75	4930	-0.42
YPR069C	6090	8917	0.68	14923	-0.55
YPR085C	796	1121	0.71	1832	-0.5
YPR089W	657	1327	0.49	1899	-1.04
YPR093C	547	1447	0.37	1909	-1.45
YPR109W	1909	3477	0.55	5301	-0.87
YPR113W	10219	19424	0.53	29558	-0.93
YPR117W	732	1179	0.62	1826	-0.7
YPR133C	2734	4250	0.64	6899	-0.64
YPR136C	62	130	0.32	107	-1.64
YPR138C	2616	5672	0.46	8204	-1.12
YCL001W-B	76	164	0.35	155	-1.52
YCR038W-A	125	252	0.44	293	-1.2
YDL159W-A	41	77	0.17	34	-2.54
YFR012W-A	128	192	0.64	235	-0.64
YJL012C-A	8961	6228	1.44	15104	0.53
YJL156W-A	63	94	0.59	73	-0.77
YML094C-A	60	227	0.13	202	-2.89
YMR013W-A	599	1021	0.58	1534	-0.79
YNR001W-A	80	157	0.4	153	-1.31
EMPTY	40	55	0.57	11	-0.81
EMPTY	46	69	0.5	30	-1
EMPTY	39	54	0.6	8	-0.74
EMPTY	36	48	0	-1	0
EMPTY	37	45	-0.25	-3	0
EMPTY	36	50	0	2	0
EMPTY	37	48	-1	0	0
EMPTY	35	47	0.5	-3	-1
EMPTY	36	47	0	-2	0
EMPTY	37	48	-1	0	0
EMPTY	37	48	-1	0	0
EMPTY	38	47	-0.5	-1	0
EMPTY	37	48	0	-1	0
YFL039C	18009	28461	0.63	46386	-0.66
YLL026W	2269	10680	0.21	12865	-2.25
YBR181C	31396	10748	2.93	42059	1.55
YFL039C	17121	27751	0.62	44788	-0.7
YLL026W	2488	11255	0.22	13659	-2.19
YBR181C	37178	11638	3.2	48732	1.68
YFL039C	14837	24734	0.6	39487	-0.74
YLL026W	2450	10069	0.24	12435	-2.05
YBR181C	31369	11284	2.79	42569	1.48
YFL039C	13535	24823	0.54	38275	-0.88
YLL026W	2959	12021	0.24	14897	-2.03
YBR181C	32013	9296	3.46	41226	1.79
YBR033W	555	1116	0.48	1589	-1.05
YBR037C	886	2329	0.37	3135	-1.42
YBR041W	1623	2341	0.69	3884	-0.53
YBR057C	943	1564	0.6	2426	-0.74
YBR061C	1158	956	1.23	2030	0.3
YBR065C	826	1609	0.51	2350	-0.98
YBR081C	473	656	0.72	1045	-0.48
YBR084W	1869	848	2.29	2633	1.19
YBR088C	4332	4640	0.94	8888	-0.1
YBR103W	693	1371	0.5	1981	-1.01
YBR107C	870	1292	0.67	2079	-0.58
YBR111C	6488	15556	0.42	21960	-1.27
YCR041W	101	155	0.59	172	-0.75
YCR045C	47	83	0.28	46	-1.85
YCR049C	83	159	0.41	159	-1.3
YCR068W	790	1901	0.41	2610	-1.3
YCR073C	120	183	0.61	221	-0.71
YCR077C	2807	3912	0.72	6638	-0.48
YCR094W	738	1379	0.53	2036	-0.93
YCR098C	236	593	0.36	748	-1.45
YCR102C	203	605	0.3	724	-1.75
YDL010W	1193	3274	0.36	4383	-1.48
YDL014W	43	59	0.5	18	-1
YDL018C	2138	4722	0.45	6776	-1.15
YDR067C	1364	2613	0.52	3894	-0.95
YDR071C	9233	15344	0.6	24493	-0.73
YDR075W	1299	1553	0.84	2768	-0.26
YDR091C	3683	2119	1.76	5719	0.81
YDR095C	155	293	0.48	364	-1.06
YDR098C-A	21014	26726	0.79	47656	-0.35
YDR113C	1229	2522	0.48	3669	-1.05
YDR117C	1022	1796	0.56	2736	-0.83
YDR121W	1947	2461	0.79	4326	-0.34
YDR137W	1107	1981	0.55	3007	-0.85
YDR141C	1187	2305	0.51	3411	-0.97
YDR145W	3284	4672	0.7	7874	-0.51
YDR433W	3887	5220	0.74	9022	-0.43
YDR437W	711	1225	0.57	1851	-0.8
YDR441C	1396	1405	1	2717	0
YDR457W	1321	1974	0.67	3211	-0.59
YDR461W	22048	26803	0.82	48767	-0.28
YDR465C	2360	955	2.56	3231	1.36
YDR481C	4574	10184	0.45	14675	-1.16
YDR485C	812	1295	0.62	2024	-0.69
YDR489W	821	1199	0.68	1938	-0.55
YDR505C	1711	4327	0.39	5954	-1.35
YDR509W	43	75	0.24	36	-2.05
YDR513W	5910	16743	0.35	22570	-1.51
YER175C	3317	13086	0.25	16321	-1.99
YER179W	198	515	0.34	632	-1.54
YER183C	2131	3862	0.55	5911	-0.87
YFL006W	1289	2508	0.51	3715	-0.97
YFL010C	3346	6232	0.54	9494	-0.9
YFL013C	2319	3633	0.64	5868	-0.65
YFL027C	1232	2489	0.49	3637	-1.03
YFL031W	7487	10072	0.74	17474	-0.43
YFL034C-B	673	788	0.86	1376	-0.22
YFL050C	391	739	0.51	1046	-0.97
YFL054C	409	1139	0.34	1464	-1.55
YFL058W	802	1855	0.42	2573	-1.24
YGL233W	1459	2951	0.49	4327	-1.03
YGL237C	754	1602	0.46	2272	-1.12
YGL241W	1204	1863	0.64	2985	-0.64
YGL257C	2112	3157	0.67	5187	-0.58
YGL261C	677	1704	0.39	2298	-1.37
YGR002C	1343	2558	0.52	3821	-0.94
YGR018C	79	139	0.47	138	-1.1
YGR022C	46	69	0.46	35	-1.13
YGR026W	4773	9490	0.5	14179	-1
YGR038W	1978	3740	0.53	5634	-0.93
YGR042W	1713	3459	0.49	5088	-1.03
YGR046W	1898	3720	0.51	5534	-0.98
YHL045W	249	545	0.43	710	-1.23
YHL049C	4707	6577	0.72	11200	-0.48
YHR002W	616	1062	0.57	1594	-0.81
YHR017W	2032	3843	0.53	5791	-0.93
YHR021C	14006	6400	2.2	20322	1.14
YHR024C	2275	3376	0.67	5568	-0.57
YHR039C-A	11579	21021	0.55	32518	-0.86
YHR043C	2267	4935	0.46	7120	-1.13
YHR047C	2607	3257	0.8	5781	-0.32
YHR062C	519	471	1.13	907	0.18
YHR066W	1984	705	2.95	2608	1.56
YHR070W	1230	1323	0.94	2473	-0.1
YIL145C	1631	2865	0.57	4413	-0.82
YIL149C	1750	2540	0.69	4206	-0.54
YIL153W	297	610	0.46	823	-1.11
YIL169C	140	216	0.61	272	-0.71
YIL173W	1514	2812	0.53	4242	-0.9
YIL177C	10823	13565	0.8	24304	-0.33
YIR016W	785	1783	0.43	2484	-1.21
YIR020C	505	1027	0.48	1447	-1.06
YIR023W	1242	1848	0.67	3006	-0.58
YIR039C	401	1842	0.2	2161	-2.3
YIR043C	1650	3537	0.46	5105	-1.11
YJL003W	2337	6248	0.37	8503	-1.43
YJR084W	999	1956	0.5	2873	-0.99
YJR088C	2308	4226	0.54	6452	-0.88
YJR092W	723	1569	0.45	2210	-1.15
YJR107W	43	52	1.17	13	0.22
YJR111C	1043	1358	0.77	2316	-0.38
YJR115W	133	185	0.7	234	-0.52
YJR131W	282	559	0.48	756	-1.06
YJR135C	958	1887	0.5	2761	-1
YJR138W	350	808	0.41	1074	-1.28
YJR154W	349	766	0.43	1030	-1.2
YJR158W	47	60	0.77	23	-0.38
YJR162C	119	211	0.5	245	-0.99
YKR074W	5623	9421	0.6	14960	-0.75
YKR078W	1140	1747	0.65	2804	-0.62
YKR082W	2202	2124	1.04	4244	0.06
YKR098C	117	213	0.49	247	-1.04
YKR102W	236	371	0.62	524	-0.7
YKR106W	266	707	0.35	890	-1.52
YLL016W	626	1144	0.54	1687	-0.89
YLL019C	2580	4716	0.54	7214	-0.88
YLL023C	2617	6092	0.43	8624	-1.23
YLL039C	7722	33772	0.23	41409	-2.13
YLL043W	1534	3325	0.46	4774	-1.13
YLL047W	70	139	0.36	124	-1.46
YLR277C	908	1371	0.66	2194	-0.6
YLR281C	390	1010	0.37	1315	-1.45
YLR285W	3179	4239	0.75	7334	-0.42
YLR300W	12397	20411	0.61	32722	-0.72
YLR304C	11237	43377	0.26	54528	-1.95
YLR308W	107	263	0.33	285	-1.62
YLR323C	1143	1931	0.59	2990	-0.77
YLR327C	3707	13813	0.27	17436	-1.91
YLR331C	115	314	0.29	344	-1.77
YLR347C	1979	2619	0.76	4514	-0.41
