ID	Cy5	Cy3	Ratio	Sum	LogRat
YNL282W	652	589	1.14	1153	0.19
YNL296W	6524	12276	0.53	18712	-0.91
YNL300W	617	807	0.77	1336	-0.38
YNL304W	801	1755	0.45	2468	-1.16
YNL320W	1734	3584	0.48	5230	-1.06
YNL324W	53	110	0.27	75	-1.88
YNL328C	502	956	0.51	1370	-0.97
YNR005C	47	83	0.3	43	-1.72
YNR009W	1812	2706	0.67	4430	-0.58
YNR013C	889	1191	0.75	1992	-0.42
YOR068C	59	122	0.31	93	-1.69
YOR072W	103	185	0.5	199	-1.01
YOR076C	678	1236	0.54	1825	-0.89
YOR092W	870	1816	0.47	2597	-1.08
YOR096W	37722	10477	3.61	48110	1.85
YOR100C	305	1662	0.17	1879	-2.59
YOR116C	1614	1194	1.38	2721	0.46
YOR120W	1768	7390	0.24	9070	-2.08
YOR124C	1358	3253	0.41	4523	-1.28
YOR140W	365	526	0.69	803	-0.53
YOR142W-B	29329	32080	0.91	61320	-0.13
YOR146W	391	623	0.62	925	-0.69
YPL050C	3762	4677	0.81	8352	-0.31
YPL054W	133	693	0.15	739	-2.74
YPL058C	848	1388	0.61	2149	-0.72
YPL073C	60	141	0.26	113	-1.97
YPL077C	556	1521	0.35	1989	-1.5
YPL081W	24442	11585	2.12	35938	1.08
YPL097W	1110	2100	0.52	3120	-0.93
YPL101W	1428	2328	0.61	3666	-0.71
YPL105C	1767	2418	0.73	4095	-0.45
YPL121C	59	101	0.43	73	-1.21
YPL125W	955	1435	0.66	2303	-0.59
YPL129W	3072	4294	0.72	7277	-0.48
YPR142C	63	117	0.38	91	-1.4
YPR146C	317	506	0.62	735	-0.7
YPR150W	112	285	0.32	309	-1.64
YPR162C	632	959	0.66	1503	-0.61
YPR166C	5848	11538	0.51	17299	-0.98
YPR170C	93	185	0.41	191	-1.27
YPR186C	1122	1531	0.73	2566	-0.45
YPR190C	1099	889	1.27	1901	0.34
YPR194C	442	6415	0.06	6769	-3.97
EMPTY	67	103	0.59	81	-0.77
EMPTY	43	57	1.2	11	0.26
EMPTY	46	60	0.89	17	-0.17
EMPTY	46	59	1	18	0
EMPTY	41	59	0.44	13	-1.17
EMPTY	42	57	0.71	12	-0.49
EMPTY	42	60	0.56	14	-0.85
EMPTY	40	57	0.5	9	-1
EMPTY	41	54	1.33	7	0.42
EMPTY	38	56	0.17	7	-2.58
EMPTY	39	55	0.5	6	-1
EMPTY	43	56	1	12	0
EMPTY	42	55	1	10	0
EMPTY	43	59	0.75	14	-0.42
EMPTY	45	59	0.89	17	-0.17
EMPTY	37	51	0	1	0
EMPTY	37	52	0	1	0
EMPTY	36	52	-0.5	1	0
EMPTY	36	49	0.5	-3	-1
EMPTY	38	50	-1	0	0
EMPTY	38	52	1	2	0
EMPTY	35	50	1	-2	0
YCONTROL57	40	112	0.08	65	-3.58
YCONTROL91	37	80	0.07	30	-3.81
YCONTROL97	37	91	0.05	40	-4.25
YCONTROL57	65	168	0.26	145	-1.94
YCONTROL91	37	99	0.04	49	-4.55
YCONTROL97	42	102	0.14	57	-2.84
YCONTROL57	40	96	0.09	49	-3.49
YCONTROL91	39	93	0.1	46	-3.39
YCONTROL97	42	99	0.13	54	-3
YCONTROL57	41	99	0.11	52	-3.23
YCONTROL91	37	94	0.02	43	-5.39
