Display_Name	Portion_Default	Portion_Display_Name	Calories	Saturated_Fats
Cappuccino	2	small (13 fl oz order)	120.45	3.431
Turkey breast lunch meat, fat free	1	ounce	23.52	0.0574
Tofu, firm	1	cup	44.1	0.54369
Tofu, firm	2	block (3 oz)	56.7	0.69903
Fried tofu	1	cup	168.02	1.80916
Fried tofu	2	piece	35.23	0.37934
Ground beef (95% lean)	1	medium patty (4 per pound)	167.28	2.75196
Ground beef (95% lean)	2	ounce after cooking	45.92	0.75544
Ground beef (95% lean)	2	ounce raw (cooked yield)	42.64	0.70148
Ground beef (95% lean)	2	large patty (3 per pound)	219.76	3.61532
Ground beef (95% lean)	2	medium meatball	45.92	0.75544
Ground beef (95% lean)	2	small patty (5 per pound)	132.84	2.18538
Ground beef (90% lean)	1	medium patty (4 per pound)	201.96	4.17582
Ground beef (90% lean)	2	ounce after cooking	57.12	1.18104
Ground beef (90% lean)	2	ounce raw (cooked yield)	51	1.0545
Ground beef (90% lean)	2	large patty (3 per pound)	267.24	5.52558
Ground beef (90% lean)	2	medium meatball	57.12	1.18104
Ground beef (90% lean)	2	small patty (5 per pound)	161.16	3.33222
Whole milk	1	cup	146.4	4.5384
Whole milk	2	fluid ounces	146.4	4.5384
2% milk (reduced fat)	1	cup	122	3.0744
2% milk (reduced fat)	2	fluid ounces	122	3.0744
1% milk (low fat)	1	cup	102.48	1.5372
1% milk (low fat)	2	fluid ounces	102.48	1.5372
Fat free milk (skim)	1	cup	83.3	0.294
Fat free milk (skim)	2	fluid ounces	83.232	0.29376
Low lactose lowfat (1%) milk	1	cup	102.48	1.5372
Low lactose lowfat (1%) milk	2	fluid ounces	102.48	1.5372
Low lactose fat free (skim) milk	1	cup	83.3	0.294
Low lactose fat free (skim) milk	2	fluid ounces	83.232	0.29376
Low lactose reduced fat (2%) milk	1	cup	122	3.0744
Low lactose reduced fat (2%) milk	2	fluid ounces	122	3.0744
Low lactose whole milk	1	cup	146.4	4.5384
Low lactose whole milk	2	fluid ounces	146.4	4.5384
Buttermilk	1	cup	98	1.3475
Buttermilk	2	fluid ounces	97.92	1.3464
Nonfat dry milk, reconstituted	1	cup	80.85	0.1078
Nonfat dry milk, reconstituted	2	fluid ounces	80.784	0.10771
Sweetened condensed milk	1	cup	245.565	4.19985
Soymilk	1	cup	98	0.5145
Soymilk	2	fluid ounces	98	0.51408
Flavored soymilk	1	cup	117.6	0.504
Plain yogurt, whole milk	1	8 oz container	138.47	4.767
Plain yogurt, fat free	1	8 oz container	127.12	0.2724
Flavored yogurt, whole milk	1	8 oz container	229.27	4.54
Flavored yogurt, low fat	1	8 oz container	192.95	1.8387
Flavored yogurt, fat-free sugar-free	1	8 oz container	97.61	0.2724
Fruit yogurt, whole milk	1	6 oz container	202.3	3.468
Fruit yogurt, low fat	1	6 oz container	173.4	1.19
Fruit yogurt, fat-free sugar-free	1	6 oz container	86.7	0.153
Frozen yogurt, low fat	1	cup	214	1.88
Frozen yogurt, low fat sugar free	1	cup	199.02	0.9486
Frozen yogurt, whole milk	1	cup	220.98	4.0542
Chocolate milk, whole milk	1	cup (1 school carton)	207.5	5.25
Chocolate milk, 2% (reduced fat)	1	cup (1 school carton)	175	2.825
Chocolate milk, fat free (skim)	1	cup (1 school carton)	140	0.575
Chocolate milk, 1% (low fat)	1	cup (1 school carton)	157.5	1.55
Instant cocoa (with water)	1	packet dry mix with water	113.3	0.6798
Instant cocoa, diet (with water)	1	packet dry mix with water	57.13	0.2561
Malted milk (Ovaltine)	1	cup	173.9	2.9845
Milk shake (whole milk)	1	milkshake (10 fl oz)	393.37	8.3202
Milk shake, low fat	1	small shake (12 fl oz)	198.64	0.9741
Milk shake, low fat	2	large shake (22 fl oz)	364	1.785
Milk shake, low fat	2	medium shake (16 fl oz)	264.16	1.2954
fruit smoothie made with milk	1	commercial smoothie (20 fl oz)	495.88	4.78676
fruit smoothie made with milk	2	cup	197.96	1.91092
Chocolate flavored drink	1	bottle (9 fl oz)	128.78	0.8494
Chocolate flavored drink	2	drink box	114.68	0.7564
Meal replacement drink (Slim Fast)	1	cup	173.6	0.6448
Dry milk powder, low fat	1	cup	109.8	0.411
Meal replacement powder (Slim Fast)	1	tablespoon	48.6	0.027
Meal replacement powder (Slim Fast)	2	scoop/dip	106.92	0.0594
Light cream	1	Tablespoons (1 fl oz)	58.5	3.606
Half & Half	1	Tablespoons (1 fl oz)	39.26	2.16232
Half & Half	2	individual container	19.5	1.074
Whipped cream, sweetened	1	cup	103.53	6.44385
Coffee Mate (liquid)	1	Tablespoons (1 fl oz)	40.8	0.582
Coffee Mate Lite (liquid)	1	Tablespoons (1 fl oz)	20.7	0.27
Coffee Mate (powder)	1	packet	16.38	0.9756
Sour cream	2	individual container	64.2	3.915
Sour cream, low fat or light	1	Tablespoons	43.52	2.112
Ground beef (80% lean)	2	ounce after cooking	75.32	1.8732
Ground beef (80% lean)	2	ounce raw (cooked yield)	59.18	1.4718
Ground beef (80% lean)	2	large patty (3 per pound)	317.42	7.8942
Ground beef (80% lean)	2	medium meatball	75.32	1.8732
Ground beef (80% lean)	2	small patty (5 per pound)	190.99	4.7499
Ground beef (85% lean)	1	medium patty (4 per pound)	238.08	5.5776
Ground beef (85% lean)	2	ounce after cooking	69.44	1.6268
Ground beef (85% lean)	2	ounce raw (cooked yield)	59.52	1.3944
Ground beef (85% lean)	2	large patty (3 per pound)	317.44	7.4368
Ground beef (85% lean)	2	medium meatball	69.44	1.6268
Ground beef (85% lean)	2	small patty (5 per pound)	190.96	4.4737
Beef jerky	1	piece (Slim Jim)	39.36	1.0416
Beef jerky	2	cup, pieces	92.25	2.44125
Pastrami (beef)	1	slice (slice = 1 oz)	97.72	2.9176
Grilled pork chop (eat lean & fat)	1	medium	216	4.662
Grilled pork chop (eat lean & fat)	2	large	314.4	6.7858
