Display_Name	Portion_Default	Portion_Display_Name	Calories	Saturated_Fats
Jelly	1	Tablespoon	50.54	0.0019
Jelly	2	packet	37.24	0.0014
Jam or preserves	1	Tablespoon	54.6	0.0021
Jam or preserves	2	packet	36.4	0.0014
Dietetic jelly (low cal sweetener)	1	Tablespoon	24.816	0.00376
All-fruit preserves (no added sugar)	1	Tablespoon	36.6	0.012
Jam or preserves (low sugar)	1	Tablespoon	25.702	0.00127
Jello	1	snack-size package (3.5 oz)	61.38	0
Popsicle	1	single stick	63.36	0
Popsicle	2	Kool Pop	23.76	0
Popsicle	2	double stick	92.16	0
Popsicle	2	Fla-Vor-Ice	30.96	0
Sugar-free popsicle (diet)	1	single stick	16.72	0.0176
Sugar-free popsicle (diet)	2	double stick	24.32	0.0256
Slurpee or snow cone	1	medium (16 fl oz)	423.68	0
Slurpee or snow cone	2	cup	212.48	0
Slurpee or snow cone	2	large (22 fl oz)	578.56	0
Slurpee or snow cone	2	small (10 fl oz)	355.84	0
Chocolate-covered almonds	1	almond	17.01	0.2097
Chocolate-covered almonds	2	cup	240.975	2.97075
Tootsie roll	1	roll	139.3	0.427
Tootsie roll	2	midgee roll	25.87	0.0793
Tootsie roll	2	large roll	254.72	0.7808
Caramel candy	1	piece	26.74	0.4606
Caramel candy	2	sucker (2 oz)	225.38	3.8822
Twix cookie bars	1	regular package	289.42	5.162
Twix cookie bars	2	king size package	474.05	8.455
Twix cookie bars	2	fun size bar	79.84	1.424
Milk chocolate bar or candy (plain)	1	bar (1.4 oz)	214	5.7
Milk chocolate bar or candy (plain)	2	cup chocolate chips	224.7	5.985
Yellow corn (corn on the cob)	2	medium ear	107	0.19
Yellow corn (corn on the cob)	2	baby ear	8.56	0.0152
Yellow corn (corn on the cob)	2	small ear	92.02	0.1634
Cooked eggplant	1	cup, diced	35	0.0384
Cooked eggplant	2	slice	18.9	0.0216
Cooked mushrooms	1	cup	21.84	0.0468
Cooked mushrooms	2	large cap	4.48	0.0096
Cooked mushrooms	2	slices	11.2	0.024
Vegetable combo (Asian style)	1	cup	23.495	0.0235
Vegetable-pasta combo with cream sauce	1	cup	84.24	1.0206
Vegetable-pasta combo with cream sauce	2	frozen package	279.76	3.3894
Tofu and vegetables (Monk's food)	1	cup	83.66	0.28764
Chiles rellenos	1	chili	364.65	12.4982
Corn pudding (scalloped corn)	1	cup	128.4	1.4552
Corn fritter	1	fritter	131.95	1.575
Corn fritter	2	cup	201.695	2.4075
Eggplant Parmesan	1	cup	316.8	9.0288
Eggplant Parmesan	2	slice eggplant	70.4	2.0064
Stuffed mushrooms (bread, meat & cheese)	1	stuffed cap	67.44	0.996
Stuffed mushrooms (bread, meat & cheese)	2	cup	266.95	3.9425
Breaded fried mushrooms	1	cup	148.07	1.4874
Breaded fried mushrooms	2	medium	30.94	0.3108
Breaded fried mushrooms	2	small	17.68	0.1776
Fried okra	1	cup	86.94	0.828
Fried okra	2	pod	14.175	0.135
Onion rings	1	fast food order	157.38	1.419
Onion rings	2	cup	43.92	0.396
Onion rings	2	medium rings	54.9	0.495
Pea salad	1	cup	250.38	3.3705
Breaded fried summer squash	1	cup	184.8	1.848
Breaded fried vegetable sticks	1	stick	28.7	0.1694
Vegetable tempura	1	piece	11.27	0.1407
Vegetable tempura	2	cup	50.715	0.63315
Vegetable-pasta combo	1	cup	52.745	0.04795
Pickled beets	1	cup	26.6175	0.00845
Corn relish	1	cup	50.8375	0.04839
Kim chee (made from cabbage)	1	cup	7.875	0.01125
Dill pickle	1	spear	5.4	0.015
Dill pickle	2	large	24.3	0.0675
Dill pickle	2	medium	11.7	0.0325
Dill pickle	2	baby dill	5.04	0.014
Dill pickle	2	slices	5.4	0.015
Pickle relish	1	packet (2 teaspoons)	13	0.006
Pickle relish	2	cup	79.625	0.03675
Sweet pickle (gherkin)	1	slices	35.1	0.021
Sweet pickle (gherkin)	2	gherkin	7.02	0.0042
Horseradish	1	Tablespoon	7.2	0.0135
Mustard	1	teaspoon	3.3	0.008
Mustard	2	packet	3.3	0.008
Green olives	1	small	21.025	0.29435
Green olives	2	cup	53.2875	0.74603
Green olives	2	large	28.275	0.39585
Black olives	1	small	17.85	0.2142
Black olives	2	cup	38.5875	0.46305
Black olives	2	large	24.15	0.2898
Tabasco sauce (hot sauce)	1	packet	1.86	0.00093
Tabasco sauce (hot sauce)	2	drops	0.16	8e-05
Cream of mushroom soup (made with milk)	1	cup	190.96	4.0424
French onion soup	1	cup	57.84	0.2651
Vegetable soup	1	cup	81.94	0.4338
Minestrone soup	1	cup	84.35	0.5302
Vegetable rice soup	1	cup	106.04	0.2651
Vegetable beef soup (canned)	1	cup	78	0.854
Vegetable beef soup (homemade)	1	cup	228.95	4.4344
Vegetable broth	1	cup	16.8	0
Wrap sandwich (vegetables only)	1	wrap	472.29	7.88424
Butter	1	pat (1 teaspoon)	35.85	2.5685
Butter	2	stick	202.5525	14.51203
Butter	2	Tablespoon	101.814	7.29454
Whipped butter	1	pat (1 teaspoon)	27.246	1.91862
Whipped butter	2	Tablespoon	67.398	4.74606
Light butter	1	pat (1 teaspoon)	24.95	1.716
Light butter	2	stick	140.9675	9.6954
Light butter	2	Tablespoon	70.858	4.87344
Stick margarine	1	pat (1 teaspoon)	35.25	0.7395
Stick margarine	2	stick	199.1625	4.17818
Stick margarine	2	Tablespoon	100.11	2.10018
Tub margarine	1	teaspoon	33.55176	0.60777
Tub spread (margarine type)	1	teaspoon	25.05789	0.45727
Reduced-calorie spread (margarine type)	1	pat (1 teaspoon)	17.25	0.385
Reduced-calorie spread (margarine type)	2	Tablespoon	50.025	1.1165
Fat-free spread (margarine type)	1	teaspoon	2.11992	0.10262
Bacon grease (or meat drippings)	1	Tablespoon	107.648	4.55296
Bacon grease (or meat drippings)	2	cup	431.0125	18.22963
Vegetable shortening	1	teaspoon	37.34016	0.84776
Vegetable shortening	2	cup	453.05	10.28588
Lemon-butter sauce	1	Tablespoon	106.784	7.50044
Lemon-butter sauce	2	cup	428.64	30.1074
Hollandaise sauce	1	Tablespoon	67.137	4.19244
Hollandaise sauce	2	cup	267.9225	16.7307
Tartar sauce	1	Tablespoon	74.304	1.1088
Tartar sauce	2	cup	296.7	4.4275
Horseradish sauce	1	Tablespoon	29.26	1.7766
Horseradish sauce	2	cup	117.04	7.1064
Pesto sauce	1	Tablespoon	82.44133	1.31806
Pesto sauce	2	cup	329.76533	5.27223
Low-calorie salad dressing	2	packet	64.68	0.352
Fat-free mayonnaise-type dressing	1	Tablespoon	13.44	0.096
Fat-free mayonnaise-type dressing	2	cup	53.76	0.384
Low-calorie mayonnaise	1	Tablespoon	36.192	0.5148
Raw tomatoes	2	wedge (1/4 of medium tomato)	5.58	0.0124
Cooked tomatoes	1	cup	21.6	0.012
Stewed tomatoes	1	cup	33.15	0.03825
Fried green tomatoes  	1	slices	211.68	3.43656
Fried green tomatoes  	2	cup	176.4	2.8638
Fried green tomatoes  	2	medium tomato	197.96	3.21382
Dried tomatoes	1	piece	5.16	0.0086
Dried tomatoes	2	cup	34.83	0.05805
Tomato juice	1	cup	41.31	0.0243
V-8 juice (tomato-vegetable juice)	1	cup	43.56	0.0242
Ketchup (catsup)	1	Tablespoon	14.25	0.012
Salsa	1	cup	17.36	0.0186
Salsa	2	Tablespoon	4.48	0.0048
Enchilada sauce	1	cup	79.375	4.16875
Green tomato-chile sauce	1	cup	45.51	0.85485
Green tomato-chile sauce	2	Tablespoon	11.1	0.2085
Tomato sauce	1	cup	39.2	0.03675
Spaghetti sauce (meatless)	1	cup	71.25	0.3625
Spaghetti sauce, fat-free (meatless)	1	cup	51.25	0.1625
Barbeque sauce	1	fast-food container	24	0.0864
Barbeque sauce	2	Tablespoons	46.875	0.16875
Raw cabbage	1	cup chopped	13.795	0.01335
Raw cabbage	2	cup shredded	10.85	0.0105
Raw cabbage	2	leaf	7.13	0.0069
Raw cauliflower	1	cup	12.5	0.015
Raw cauliflower	2	floweret	3.25	0.0039
Raw celery	1	cup diced	8.4	0.024
Raw celery	2	cup sticks	8.68	0.0248
Raw celery	2	sticks or strips (4" long)	2.8	0.0016
Chives	1	Tablespoon	0.9	0.0045
Cilantro	1	cup	0.92	4e-04
Cilantro	2	sprig	0.253	0.00011
Cucumber	1	cup sliced	7.14	0.00595
Cucumber	2	slice	0.84	7e-04
Cucumber	2	stick or strip (4" long)	1.08	9e-04
Garlic	1	clove	4.47	0.0027
Lettuce	1	cup, chopped or shredded	5.5	0.0055
Lettuce	2	medium leaf	0.8	8e-04
Mixed salad greens	1	cup, chopped or shredded	8.8	0.0165
Raw mushrooms	1	cup pieces or slices	7.7	0.0175
Raw mushrooms	2	medium	3.96	0.009
Raw mushrooms	2	slice	1.32	0.003
Raw onion	1	slice (1/8" thick)	5.88	0.0042
Raw onion	2	cup	16.8	0.012
Parsley	1	springs	0.18	0.00065
Raw hot pepper (jalapeno)	1	pepper	18.9	0.027
Raw hot pepper (jalapeno)	2	cup	15.75	0.0225
Raw sweet pepper (bell pepper)	1	slice or ring	2	0.006
Raw sweet pepper (bell pepper)	2	cup chopped	7.45	0.02235
Raw sweet pepper (bell pepper)	2	cup sliced	9.2	0.0276
Raw sweet pepper (bell pepper)	2	medium	23.8	0.0714
Radish	1	slice	0.16	3e-04
Radish	2	cup slices	4.64	0.0087
Radish	2	medium	0.72	0.00135
Coleslaw	1	cup	134.32	1.794
Coleslaw	2	fast-food order	131.4	1.755
Tossed salad (lettuce and vegetables)	1	cup	11.68	0.0146
Artichoke	1	cup hearts	42	0.0336
Artichoke	2	medium globe	60	0.048
Artichoke	2	heart	13.5	0.0108
Cooked asparagus	1	medium spears	16.5	0.0525
Cooked asparagus	2	cup	19.8	0.063
Cooked asparagus	2	small or thin spears	12.1	0.0385
Cooked asparagus	2	large or thick spears	20.9	0.0665
Cooked green lima beans	1	cup	103.7	0.0595
Cooked green beans	1	cup	13.5	0.0135
Cooked bean sprouts	1	cup	29.14	0.1736
Cooked beets	1	cup slices	37.4	0.0255
Cooked beets	2	cup diced	34.54	0.02355
Cooked beets	2	cup whole	35.86	0.02445
Cooked Brussels sprouts	1	cup	32.55	0.062
Cooked Brussels sprouts	2	sprout	8.82	0.0168
Cooked cabbage	1	cup	16.5	0.0375
Cooked cauliflower	1	cup flowerets	16.56	0.0432
Cooked cauliflower	2	cup pieces	14.375	0.0375
Cooked cauliflower	2	floweret	5.06	0.0132
Cream style corn	1	cup	92.16	0.0896
Yellow corn (corn on the cob)	1	cup	87.74	0.1558
Yellow corn (corn on the cob)	2	large ear	121.98	0.2166
Boiled or steamed okra	1	cup	17.6	0.032
Boiled or steamed okra	2	pods	11.66	0.0212
Cooked onions	1	cup	46.2	0.0315
Cooked onions	2	slice	5.28	0.0036
Blackeye peas	1	cup	79.2	0.07425
Cooked green peas	1	cup	66.4	0.032
Cooked sweet peppers	1	cup	19.04	0.0204
Cooked hot peppers	1	pepper	18.06	0.0086
Cooked hot peppers	2	Tablespoon	3.57	0.0017
Sauerkraut	1	cup	13.49	0.0284
Cooked snowpeas	1	cup	33.6	0.032
Zucchini or summer squash	1	cup	18	0.054
Cooked turnip	1	cup pieces	17.05	0.00775
Cooked turnip	2	cup mashed	25.3	0.0115
Water chestnut	1	cup	39.5	0.0158
Vegemite	1	teaspoon	9.48	0
Succotash (lima beans and corn)	1	cup	88.32	0.16224
Bean salad (green, yellow, kidney beans)	1	cup	57	0.36
Sauteed green peppers & onions	1	cup	39.6	0.3024
Cooked mixed vegetables	1	cup	59.15	0.0273
Stew vegetables	1	cup	57.75	0.4455
Boiled potatoes	2	ounces raw	156.4	0.0552
Roasted potatoes	1	medium (2 per pound, raw)	179.47	0.0655
Roasted potatoes	2	cup	83.57	0.0305
Roasted potatoes	2	large (13 ounces, raw)	310.99	0.1135
Roasted potatoes	2	small (6 ounces, raw)	143.85	0.0525
Roasted potatoes	2	ounces raw	93.16	0.034
Potato chips, regular (all flavors)	1	cup	107.2	2.192
Potato chips, regular (all flavors)	2	single serving bag (1 oz)	150.08	3.0688
Potato chips, regular (all flavors)	2	grab-size bag (1.8 oz)	268	5.48
French fries, deep-fried	1	medium fast food order	456.94	5.2528
French fries, deep-fried	2	cup	194.37	2.2344
French fries, deep-fried	2	cup curly fries	276.21	3.1752
French fries, deep-fried	2	large fast food order	539	6.8
French fries, deep-fried	2	small fast food order	289.85	3.332
French fries, deep-fried	2	steak cut/dinner fries	300.08	3.4496
French fries, deep-fried	2	strips (2" to 3-1/2")	170.5	1.96
Home fries	1	cup	179.45	1.1931
Hash browns	1	cup	157.325	3.2335
Hash browns	2	patty (2.3 oz)	143.22	2.9436
Potato skin with cheese & bacon	1	order (10 halves)	1667.4	30.87
Potato skin with cheese & bacon	2	large skin	277.9	5.145
Potato skin with cheese & bacon	2	medium skin	166.74	3.087
Potato skin with cheese & bacon	2	small skin	138.95	2.5725
Mashed potatoes (with milk, no butter)	1	cup	85.05	0.1785
Mashed potatoes (with milk and butter)	1	cup	109.2	0.7245
Mashed potatoes (with butter)	1	cup	115.5	0.651
Tator tots	1	cup	142.08	3.2576
Tator tots	2	tater tot	17.538	0.40211
Stuffed baked potato (with sour cream)	1	medium potato	158.12	4.13
Stuffed baked potato (with sour cream)	2	large potato	273.36	7.14
Stuffed baked potato (with sour cream)	2	small potato	125.96	3.29
Stuffed baked potato (with cheese)	1	potato (frozen)	194.6	3.374
Stuffed baked potato (with cheese)	2	large potato	248.81	4.3139
Stuffed baked potato (with cheese)	2	medium potato	143.865	2.49435
Stuffed baked potato (with cheese)	2	small potato	114.675	1.98825
Potato salad with egg	1	cup	131.24	1.1966
Potato salad	1	cup	129.31	0.97465
Potato pancake (latke)	1	large pancake	69.93	0.8177
Potato pancake (latke)	2	small pancake	41.58	0.4862
Potato pudding	1	cup	143.64	3.53856
Cream of potato soup	1	cup	136.4	2.7032
Cream of potato soup	2	can, ready to eat (13 oz)	101.475	2.01105
Plantain soup	1	cup	98	0.5586
Plantain (boiled or baked)	1	medium plantain	136.88	0.0826
Plantain (boiled or baked)	2	cup	110.2	0.0665
Fried plantain	1	medium plantain	249.48	1.7523
Cassava	1	piece	32.2	0.014
Cassava	1	cup, diced	106.26	0.0462
Cassava bread	1	piece (6" across)	299	0.131
Cassava with creole sauce	1	portion 	308.2	1.127
Taro (cocoyam), boiled	1	cup, pieces	106	0.038
Romaine lettuce	1	cup	7.6	0.02
Caesar salad with dressing	1	cup	168.48	2.5812
Greens, cooked without fat	1	cup	18.25	0.0365
Greens, cooked with fat	1	cup	33.975	0.3624
Raw spinach	1	cup	6.9	0.018
Cooked spinach	1	cup	30.4	0.0855
Creamed spinach	1	cup	78	1.18
Raw broccoli	1	cup flowerets	12.07	0.0142
Raw broccoli	2	cup chopped	14.96	0.0176
Raw broccoli	2	floweret	3.74	0.0044
Cooked broccoli	1	cup flowerets	16.975	0.0388
Cooked broccoli	2	cup chopped	32.2	0.0736
Cooked broccoli	2	floweret	3.5	0.008
Broccoli with cheese sauce	1	cup	120.84	3.6252
Broccoli with cheese sauce	2	stalk	50.88	1.5264
Broccoli-rice casserole	1	cup	143.64	2.85
Cream of broccoli soup	1	cup	206.19	3.7446
Broccoli cheese soup	1	cup	164.91	3.3699
Raw carrots	1	cup strips or slices	25.01	0.0183
Raw carrots	2	cup grated	22.55	0.0165
Raw carrots	2	baby carrot	4.1	0.003
Carrot salad	1	cup	208.25	2.23125
Cooked carrots	1	cup slices	27.3	0.0312
Cooked carrots	2	cup baby carrots	26.075	0.0298
Glazed carrots	1	cup	100.625	1.0787
Glazed carrots	2	cup baby carrots	106.875	1.1457
Carrot juice	1	cup	94.4	0.0708
Peas and carrots	1	cup	38.4	0.064
Baked winter squash	1	cup	37.925	0.123
Baked winter squash	2	acorn squash	58	0.19
Baked sweet potato	1	medium (5" long)	101.46	0.0342
Baked sweet potato	2	large	160.2	0.054
Baked sweet potato	2	small	53.4	0.018
Candied sweet potato	1	cup	146.02	0.6468
Mashed sweet potato	1	cup	107.445	0.72865
Raw tomatoes	1	medium whole (2-3/5" across)	22.14	0.0492
Raw tomatoes	2	cup, chopped or sliced	16.2	0.036
Raw tomatoes	2	large whole (3" across)	32.76	0.0728
Raw tomatoes	2	small whole (2-2/5" across)	16.38	0.0364
Raw tomatoes	2	cherry tomato	3.06	0.0068
Raw tomatoes	2	medium slice (1/4" thick)	3.6	0.008
Barbeque sauce	2	packet	6.975	0.02511
Steak sauce (A-1)	1	Tablespoon	9.76	0.0064
Steak sauce (A-1)	2	cup	38.125	0.025
Cocktail sauce	1	Tablespoons	54.6	0.04778
Tomato cucumber salad, with oil & vinegar	1	cup	92.22	0.99375
Cream of tomato soup	1	cup	146.32	1.8352
Tomato soup (made with water)	1	cup	85.4	0.3416
Raw bean sprouts	1	cup	15.6	0.026
Nectarine (raw)	1	nectarine	59.84	0.0408
Nectarine (raw)	2	cup, sliced	30.36	0.0207
Nectarine (raw)	2	slice	4.972	0.00339
Papaya (raw)	1	medium	59.28	0.0608
Papaya (raw)	2	cup, cubes	27.3	0.028
Papaya (raw)	2	small	29.64	0.0304
Peach (raw)	1	medium (4 per lb)	38.22	0.0196
Peach (raw)	2	cup, diced	36.075	0.0185
Peach (raw)	2	large (2-1/2 per lb)	61.23	0.0314
Peach (raw)	2	small (5 per lb)	30.81	0.0158
Peach (raw)	2	slice	3.12	0.0016
Peach (canned in light syrup)	1	half with liquid	52.92	0.00294
Peach (canned in light syrup)	2	cup	67.77	0.00377
Peach (canned in light syrup)	2	snack size (4 oz)	61.02	0.00339
Pear (raw)	1	medium (2-1/2 per lb)	96.28	0.0166
Pear (raw)	2	cup, sliced or cubed	47.85	0.00825
Pear (raw)	2	large (2 per lb)	121.22	0.0209
Pear (raw)	2	small (3 per lb)	80.62	0.0139
Pear (raw)	2	slice	8.12	0.0014
Pear (canned in light syrup)	1	half with liquid	43.32	0.00152
Pear (canned in light syrup)	2	cup	70.965	0.00249
Pear (canned in light syrup)	2	snack size (4 oz)	64.41	0.00226
Persimmons (raw)	1	persimmon	117.6	0.0336
Pineapple (raw)	1	cup, diced	37.2	0.00775
Pineapple (raw)	2	slice	40.32	0.0084
Pineapple (canned in light syrup)	1	cup, chunks or crushed	65.52	0.0126
Pineapple (canned in light syrup)	2	slice or ring	24.96	0.0048
Plum (raw)	1	plum	30.36	0.0132
Pomegranate (raw)	1	pomegranate	52.36	0.0308
Watermelon (raw)	1	cup, diced	22.8	0.0152
Watermelon (raw)	2	small wedge	21.3	0.0142
Watermelon (raw)	2	medium wedge	85.8	0.0572
Watermelon (raw)	2	large wedge	171.6	0.1144
Blueberries (raw)	1	cup	41.325	0.02175
Cranberry sauce	1	cup	104.5675	0.00693
Cranberry sauce	2	slice sauce	86.07	0.0057
Raspberries (raw)	1	cup	31.98	0.0123
Strawberries (raw)	1	cup, whole	23.04	0.0072
Strawberries (raw)	2	cup, pureed	37.12	0.0116
Strawberries (raw)	2	cup, sliced	26.56	0.0083
Strawberries (raw)	2	large	5.76	0.0018
Strawberries (raw)	2	medium	3.84	0.0012
Strawberries (raw)	2	small	2.24	7e-04
Strawberries (cooked or canned in syrup)	1	cup	116.84	0.0127
Ambrosia	1	cup	50	1.5
Fruit salad (no dressing)	1	cup	48.125	0.02625
Fruit cocktail (canned in heavy syrup)	1	snack size package (4 oz)	82.49	0.0113
Fruit cocktail (canned in heavy syrup)	2	cup	90.52	0.0124
Fruit cocktail (canned in light syrup)	1	snack size package (4 oz)	64.41	0.0113
Fruit cocktail (canned in light syrup)	2	cup	68.97	0.0121
Waldorf salad (apple salad in dressing)	1	cup	121.245	1.37685
Guacamole	1	cup	91.4525	1.20577
Fruit soup	1	cup	176.66	0.02178
Frozen fruit juice bar	1	bar	60.68	0
Low-calorie frozen fruit juice bar	1	bar	23.76	0.0108
Sorbet (made with fruit)	1	cup	82	0
100% Fruit juice blend (Juicy Juice)	1	cup	132.5	0.05
100% Fruit juice blend (Juicy Juice)	2	drink box (8 fl oz)	139.92	0.0528
100% Fruit juice blend (Juicy Juice)	2	small box (4 fl oz)	69.96	0.0264
Apple cider	1	cup	116.56	0.0496
Apple juice (100% juice)	1	cup	116.56	0.0496
Apple juice (100% juice)	2	bottle (10 fl oz)	145.7	0.062
Apple juice (100% juice)	2	drink box (8 fl oz)	123.14	0.0524
Cranberry juice (100% juice)	1	cup	116.38	0.0253
Grape juice (100% juice)	1	cup	154.33	0.0759
Pineapple juice (100% juice)	1	cup	140	0.025
Prune juice (100% juice)	1	cup	181.76	0.00768
fruit smoothie (no milk)	1	commercial smoothie (20 fl oz)	326.12	0.1578
fruit smoothie (no milk)	2	cup	130.2	0.063
Peach nectar	1	cup	134.46	0.00498
Vinegar	1	Tablespoon	2.016	0
Baked potato, plain (don't eat peel)	1	medium (2 per pound, raw)	120.52	0.0393
Baked potato, plain (don't eat peel)	2	large (13 ounces, raw)	208.84	0.0681
Baked potato, plain (don't eat peel)	2	small (6 ounces, raw)	96.6	0.0315
Baked potato, plain (don't eat peel)	2	ounces raw	132.48	0.0432
Baked potato, plain (eat peel)	1	medium (2 per pound, raw)	159.16	0.0692
Baked potato, plain (eat peel)	2	large (13 ounces, raw)	169.28	0.0736
Baked potato, plain (eat peel)	2	small (6 ounces, raw)	126.96	0.0552
Baked potato, plain (eat peel)	2	ounces raw	169.28	0.0736
Boiled potatoes	1	medium (2 per pound, raw)	141.95	0.0501
Boiled potatoes	2	large (13 ounces, raw)	156.4	0.0552
Boiled potatoes	2	small (6 ounces, raw)	106.25	0.0375
Potato chips, regular (all flavors)	2	chips	96.48	1.9728
Reduced fat potato chips (all flavors)	1	cup	94.2	0.832
Reduced fat potato chips (all flavors)	2	chips	80.07	0.7072
Pringles potato chips	1	cup, stacked (20 chips)	239.94	4.0635
Pringles potato chips	2	one-inch stack (14 chips)	156.24	2.646
Pringles potato chips	2	chips	111.6	1.89
Baked Pringles potato chips	1	cup, loose	131.32	0.7364
Baked Pringles potato chips	2	single serving bag (1.1 oz)	150.08	0.8416
Baked Pringles potato chips	2	chips	107.87	0.6049
Potato sticks	1	cup	99.18	1.6872
Potato sticks	2	single serving bag (1 oz)	146.16	2.4864
Potato sticks	2	sticks	15.66	0.2664
Au gratin potatoes	1	cup	153.72	2.9158
Scalloped potatoes	1	cup	108.48	0.8927
French fries, oven-baked	1	cup	113.43	0.7125
French fries, oven-baked	2	cup curly fries	161.19	1.0125
French fries, oven-baked	2	steak cut/dinner fries	175.12	1.1
French fries, oven-baked	2	strips (2" to 3-1/2")	99.5	0.625
Seafood stuffed shells with tomato sauce	1	jumbo shells	306.27	1.30725
Cheese tortellini with tomato sauce	1	cup	332.5	6.05
Cheese tortellini with cream sauce	1	cup	390	7.7375
Cheese tortellini, no sauce	1	cup	354	4.1535
Cheese tortellini, no sauce	2	tortellini	113.28	1.32912
Lo mein (meatless)	1	cup	234	1
Shrimp lo mein	1	cup	236	1.18
Macaroni and cheese (homemade type)	1	cup	236.925	4.7628
Macaroni and cheese (from dry mix)	1	cup	197.685	2.3302
Macaroni and cheese with beef	1	cup	167.67	3.80295
Macaroni salad	1	cup	169.92	1.40715
Macaroni salad with egg	1	cup	178.77	1.9824
Pasta salad with vegetables	1	cup	116.82	0.7611
Pasta salad with meat and vegetables	1	cup	147.795	1.93815
Noodle pudding	1	cup	148.32	1.1052
Wrap sandwich (vegetables, rice)	1	wrap	674.68	8.41128
Chicken noodle soup	1	cup	74.71	0.5784
Chicken rice soup	1	cup	60.25	0.4338
Matzo ball soup	1	cup	118.09	1.31586
Ramen noodle soup	1	package, prepared	170.43	2.8652
Ramen noodle soup	2	cup	160.77	2.7028
Won ton soup	1	cup	183.16	2.2654
Tortilla soup	1	cup	237.6	4.2
Grapefruit (raw)	1	medium (4" across)	40.96	0.0128
Grapefruit (raw)	2	cup	36.8	0.0115
Grapefruit (raw)	2	large (4-1/2" across)	53.12	0.0166
Grapefruit (raw)	2	small (3-1/2" across)	32	0.01
Grapefruit (canned, light syrup)	1	cup	76.2	0.0127
Orange (raw)	1	medium (2-5/8" across)	61.57	0.0131
Orange (raw)	2	cup, sections	42.3	0.009
Orange (raw)	2	large (3" across)	86.48	0.0184
Orange (raw)	2	small (2-3/8" across)	45.12	0.0096
Orange (raw)	2	section or slice	7.99	0.0017
Mandarin oranges (light syrup)	1	cup	76.86	0.0126
Tangerine (raw)	1	medium (2-3/8" across)	36.96	0.0168
Tangerine (raw)	2	cup, sections	42.9	0.0195
Tangerine (raw)	2	clementine	33	0.015
Grapefruit juice (unsweetened)	1	cup	93.86	0.0247
Lemon juice	1	Tablespoon	3.8125	0
Lemon juice	2	lemon, juiced	11.75	0
Orange juice (100% juice)	1	cup	104.58	0.0498
Orange juice (100% juice)	2	drink box (8 fl oz)	110.46	0.0526
Orange juice (100% juice)	2	small box (4 oz)	52.08	0.0248
Orange juice (100% juice)	2	McDonald's carton	75.6	0.036
Orange juice (100% juice)	2	bottle (16 fl oz)	209.16	0.0996
Orange juice (sweetened)	1	cup	130	0.025
Dried fruit (apricot, apple, etc.)	1	cup	85.68	0.0204
Apple chips	1	chips	101.2	0.34848
Banana chips	1	cup	66.06	0.8748
Fig (dried)	1	fig	47.31	0.0266
Fig (dried)	2	cup	123.8775	0.06965
Prunes	1	cup pitted	204	0.0765
Prunes	2	prune	20.16	0.00756
Raisins	1	miniature box (1/2 oz)	41.86	0.0084
Raisins	2	cup	108.3875	0.02175
Raisins	2	small box (1 1/2 oz)	128.57	0.0258
Apple (raw)	1	medium  (about 3 per lb)	71.76	0.0414
Apple (raw)	2	cup, quartered or chopped	65	0.0375
Apple (raw)	2	large (about 2 per lb)	110.24	0.0636
Apple (raw)	2	small  (about 4 per lb)	55.12	0.0318
Apple (raw)	2	slice	8.84	0.0051
Applesauce (unsweetened)	1	cup	52.46	0.0122
Applesauce (unsweetened)	2	snack size package (4 oz)	48.59	0.0113
Applesauce (sweetened)	1	cup	96.9	0.03825
Applesauce (sweetened)	2	snack size package (4 oz)	85.88	0.0339
Baked apple (sweetened)	1	apple	162.45	0.0342
Apricot (raw)	1	apricot	16.8	0.0105
Apricot (raw)	2	cup, halves	37.2	0.02325
Apricot (canned, light syrup)	1	apricot half	14.94	0.0018
Apricot (canned, light syrup)	2	cup, halves	90.885	0.01095
Avocado	1	cup, cubes	60	0.79875
Avocado	2	cup, mashed	92	1.22475
Avocado	2	California avocado (black)	138.4	1.84245
Avocado	2	Florida avocado (green)	243.2	3.2376
Banana	1	medium (7 - 8" long)	105.02	0.1298
Banana	2	cup, sliced	66.75	0.0825
Banana	2	small (6 - 7" long)	89.89	0.1111
Banana	2	large (8 - 9" long)	121.04	0.1496
Cantaloupe	1	cup, balls	30.09	0.04425
Cantaloupe	2	large wedge	34.68	0.051
Cantaloupe	2	medium wedge	23.46	0.0345
Cantaloupe	2	small wedge	18.7	0.0275
Maraschino cherries	1	cherry	7.095	0.00172
Maraschino cherries	2	cup	66.4125	0.0161
Sweet cherries (raw)	1	cup cherries with pits	36.855	0.0234
Sweet cherries (raw)	2	cup pitted cherries	45.675	0.029
Sweet cherries (raw)	2	cherries	42.84	0.0272
Grapes (raw)	1	cup	55.2	0.04
Grapes (raw)	2	grapes	34.5	0.025
Guava (raw)	1	guava	45.9	0.153
Guava (raw)	2	cup	42.075	0.14025
Kiwifruit (raw)	1	fruit	46.36	0.0228
Kiwifruit (raw)	2	cup	53.985	0.02655
Kiwifruit (raw)	2	slice	4.27	0.0021
Honeydew melon (raw)	1	medium wedge	45	0.05
Honeydew melon (raw)	2	cup balls	31.86	0.0354
Honeydew melon (raw)	2	small wedge	22.32	0.0248
Honeydew melon (raw)	2	large wedge	90	0.1
Mango (raw)	1	cup, sliced	53.625	0.05775
Mango (raw)	2	mango	67.275	0.07245
